prompt_name,strategy_type,count
prompt_0_minimal,direct_conditionals,1788
prompt_0_minimal,hardcoded_solution,22
prompt_0_minimal,helper_methods,65
prompt_0_minimal,incomplete_or_empty,198
prompt_0_minimal,loops_or_iteration,452
prompt_0_minimal,unclear_or_other,5
prompt_1_structured,direct_conditionals,1593
prompt_1_structured,hardcoded_solution,6
prompt_1_structured,helper_methods,71
prompt_1_structured,incomplete_or_empty,192
prompt_1_structured,loops_or_iteration,614
prompt_1_structured,unclear_or_other,54
prompt_2_rubric,direct_conditionals,1774
prompt_2_rubric,hardcoded_solution,14
prompt_2_rubric,helper_methods,69
prompt_2_rubric,incomplete_or_empty,231
prompt_2_rubric,loops_or_iteration,434
prompt_2_rubric,unclear_or_other,8
