dataset,model,n_features,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
structural_only,Dummy Mean,108,-0.024191644412051926,0.044070059176067475,15.69185107530992,1.0768910510580747,19.58585016090979,1.3700479937539853
structural_only,Linear Regression,108,-0.012563126692129096,0.19327743328770217,14.904527408036087,1.1858403705700553,19.312399396008555,1.2704273191025703
structural_only,Ridge,108,0.03397887354615619,0.17337847623405822,14.618456953221473,1.1365749223879413,18.876861032407366,1.1665325784171623
structural_only,Lasso,108,0.025065264119362177,0.17525464816625988,14.674085918069517,1.141018404033139,18.963096963857026,1.1750180238691206
structural_only,SVR,108,0.15900648285332297,0.05302211758594951,13.843208591949038,1.0412892368758953,17.756583501390487,1.4792324509299757
structural_only,Decision Tree,108,-0.45134777498191075,0.27529443866013353,18.11360596707819,1.6875087355433003,23.147075396658472,2.182449013995928
structural_only,Random Forest,108,0.270346756454329,0.09642314507983302,12.684527166666667,0.8406920617944756,16.48049994289175,1.2455555299565668
structural_only,Gradient Boosting,108,0.2268677803766424,0.08241901263073446,13.072258962944478,0.8355267969033329,16.978121882743405,1.1838822167583414
llm_only_prompt_0_minimal,Dummy Mean,54,-0.024191644412051926,0.044070059176067475,15.69185107530992,1.0768910510580747,19.58585016090979,1.3700479937539853
llm_only_prompt_0_minimal,Linear Regression,54,-0.017070639074310633,0.10979059359899594,15.05600354549906,1.1472709070551619,19.488291762301866,1.6222451710419858
llm_only_prompt_0_minimal,Ridge,54,-0.011542715142278693,0.10741840232716722,15.020747992857785,1.1443350654690752,19.43705354258965,1.6151605407941525
llm_only_prompt_0_minimal,Lasso,54,-0.011286690281529376,0.10779585866321603,15.015287529784205,1.1464390839673393,19.434360715300564,1.6177617496726902
llm_only_prompt_0_minimal,SVR,54,0.03308860745441209,0.04081143198354725,15.25317556118348,1.161544259695571,19.041047793385896,1.4756928758992547
llm_only_prompt_0_minimal,Decision Tree,54,-0.6973531034217566,0.3433579539863974,19.979776748971194,1.7370358373017822,25.00243398295354,2.299990589098813
llm_only_prompt_0_minimal,Random Forest,54,0.1116644984430218,0.12084096373146153,14.297249912894378,1.1313590147684227,18.185011457110406,1.3906083729003182
llm_only_prompt_0_minimal,Gradient Boosting,54,0.035956897813041865,0.12292222162770641,14.779077654555753,1.1261140681291009,18.956043342139758,1.5180464129359905
llm_only_prompt_1_structured,Dummy Mean,54,-0.024191644412051926,0.044070059176067475,15.69185107530992,1.0768910510580747,19.58585016090979,1.3700479937539853
llm_only_prompt_1_structured,Linear Regression,54,0.03793147932545538,0.12468862601594936,14.948381752295179,1.267220003177914,18.924051881333074,1.4669569591858445
llm_only_prompt_1_structured,Ridge,54,0.04469129141396249,0.12292275248267126,14.886392579380376,1.260403542272084,18.85863145136707,1.4573884057475799
llm_only_prompt_1_structured,Lasso,54,0.042876926525819724,0.12358616322327151,14.898192180377588,1.2680823242914963,18.876105347486114,1.4640916627690466
llm_only_prompt_1_structured,SVR,54,0.04503017882940768,0.05353329166051768,15.128032012338915,1.0907232438341057,18.908185743916796,1.3413187157542632
llm_only_prompt_1_structured,Decision Tree,54,-0.8241223117546562,0.3327451804299676,20.633334670781892,1.7263598304415693,25.94632810119939,2.0428688766069576
llm_only_prompt_1_structured,Random Forest,54,0.08523145466436217,0.10419650516615007,14.543748801097395,1.1510353659821018,18.47316419825846,1.470742546679938
llm_only_prompt_1_structured,Gradient Boosting,54,0.030142467694824492,0.07146095766176155,14.891553746707636,1.0403419014225956,19.052264318245218,1.451161100190826
llm_only_prompt_2_rubric,Dummy Mean,54,-0.024191644412051926,0.044070059176067475,15.69185107530992,1.0768910510580747,19.58585016090979,1.3700479937539853
llm_only_prompt_2_rubric,Linear Regression,54,-0.02207701731368105,0.11167194694125954,15.145107429343211,1.2698181572229168,19.523071645170543,1.4620224284168504
llm_only_prompt_2_rubric,Ridge,54,-0.013642160261742874,0.1085923285877244,15.082998597545615,1.2675959833695414,19.445651910951515,1.4711968343764548
llm_only_prompt_2_rubric,Lasso,54,-0.016505820710515533,0.10965421818326031,15.099923865206133,1.2726509357732323,19.471681187851832,1.4654165362681515
llm_only_prompt_2_rubric,SVR,54,0.02814523191444287,0.04084546159900816,15.220922472764885,1.1132985374718576,19.083112562186383,1.392584136803966
llm_only_prompt_2_rubric,Decision Tree,54,-0.8281198906722785,0.24698782521988513,20.354597736625518,1.3472449751091617,26.09101392796549,2.1562077885916047
llm_only_prompt_2_rubric,Random Forest,54,-0.005157045843625596,0.11520560167917014,15.21420846090535,1.1360483381974664,19.361051027500263,1.4874480394304175
llm_only_prompt_2_rubric,Gradient Boosting,54,-0.04462613357574376,0.12506528338818296,15.488287911978102,1.3429626768253269,19.749602598320447,1.7190258103197802
