checkpoint,checkpoint_value,dataset,model,n_features,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
20%,0.2,traditional_LA_only,Random Forest,48,0.7629254013586938,0.05161103243176188,0.6988271604938272,0.0456736525050322,0.7292047402987542,0.049159273491068974,0.6794019933554816,0.07547859501971836,0.7007521398489052,0.049800491575474205
20%,0.2,traditional_LA_plus_structural,Random Forest,156,0.7788922340635926,0.05281822754752485,0.7144958847736625,0.0496317174829893,0.7479488536299772,0.0503166979095221,0.6889627168696936,0.08468309158838415,0.7141675438292542,0.055927525472770516
20%,0.2,traditional_LA_plus_prompt_0_minimal,Random Forest,102,0.7594993122838901,0.05400675682754062,0.7045987654320989,0.049493227682635095,0.7336838811462907,0.04959743176154828,0.6873015873015872,0.0813868020882202,0.7068384709320629,0.054822662987891006
20%,0.2,traditional_LA_structural_plus_prompt_0_minimal,Random Forest,210,0.7784479709510311,0.050361149993147704,0.7227366255144033,0.04457626722128675,0.7603223472769057,0.05151139700540082,0.6921742340346989,0.0801969843409229,0.7212094961031544,0.05054761361074421
20%,0.2,traditional_LA_plus_prompt_1_structured,Random Forest,102,0.7594369669951067,0.0539835635321508,0.7078909465020576,0.051811016237669746,0.7362316317048172,0.050974076612249605,0.6921373200442967,0.0906177941456233,0.7100655482455943,0.059165404352572025
20%,0.2,traditional_LA_structural_plus_prompt_1_structured,Random Forest,210,0.7749744690687164,0.048771340715398404,0.7235905349794238,0.04104995770918601,0.7546148411172258,0.046532404663668876,0.7031007751937983,0.07095936730273697,0.7253843681892679,0.044861456698773075
20%,0.2,traditional_LA_plus_prompt_2_rubric,Random Forest,102,0.7681373230332839,0.052186803367182254,0.7119958847736625,0.054178183581736684,0.7416432183077463,0.047732247061968845,0.6889996308600959,0.08623063911656988,0.7122358506583271,0.061850309864781
20%,0.2,traditional_LA_structural_plus_prompt_2_rubric,Random Forest,210,0.7760834330907771,0.043961275345509435,0.7252469135802468,0.044203946070963826,0.7589564538427261,0.05120828242693905,0.7014765596160942,0.07952344548931055,0.725697005655596,0.049751785995128056
40%,0.4,traditional_LA_only,Random Forest,48,0.7662904528265605,0.04774589319616879,0.7144547325102881,0.05832205528908991,0.7294448435452827,0.06149963024781472,0.7283130306386119,0.09144847908902556,0.7253765328922792,0.06112907150817578
40%,0.4,traditional_LA_plus_structural,Random Forest,156,0.7843399494562286,0.050474203181537294,0.737602880658436,0.05442866206804493,0.7613633899560187,0.05092161785518967,0.7283868586194165,0.09533781096448218,0.7411887379302352,0.0617660612054856
40%,0.4,traditional_LA_plus_prompt_0_minimal,Random Forest,102,0.7768518643059646,0.04759142804939053,0.7301646090534979,0.036118183097506924,0.7563985442251578,0.052693699023657815,0.7220745662606127,0.06284008137006258,0.735951927996606,0.03587038090159754
40%,0.4,traditional_LA_structural_plus_prompt_0_minimal,Random Forest,210,0.7919112778965901,0.047311688758260605,0.7450411522633745,0.0410924024501917,0.7716343342911537,0.044052001799723225,0.7331118493909191,0.0912550128835897,0.7478272976324851,0.05002114113662298
40%,0.4,traditional_LA_plus_prompt_1_structured,Random Forest,102,0.7815073860361501,0.045500057856517395,0.7210493827160496,0.04180250681210458,0.7439364169727537,0.04516834700222588,0.7157991878922112,0.07014885944877308,0.7272373911799448,0.044970077093889706
40%,0.4,traditional_LA_structural_plus_prompt_1_structured,Random Forest,210,0.7955696237213985,0.04396923244150172,0.7392489711934156,0.04009359709862659,0.7630973853988795,0.042142796251857136,0.7315245478036175,0.07949851000031977,0.7439535108063015,0.04610415474009913
40%,0.4,traditional_LA_plus_prompt_2_rubric,Random Forest,102,0.7765016172910909,0.042944579743811676,0.7227777777777777,0.04870665703230214,0.7491397066844091,0.05737040967788115,0.7142857142857142,0.08151266083267147,0.7277073583468091,0.05193703556364575
40%,0.4,traditional_LA_structural_plus_prompt_2_rubric,Random Forest,210,0.7891731415599225,0.04799238276591894,0.7417078189300413,0.05018232730774425,0.7662683424895808,0.05246036589691796,0.7331118493909191,0.08130100025496081,0.7464079416100946,0.052750176790462816
60%,0.6,traditional_LA_only,Random Forest,48,0.7719997294966695,0.05563716419533041,0.7054218106995885,0.0472494766110442,0.7235134462033918,0.05504807702624547,0.7173495754891104,0.07806271295121969,0.7168137509747693,0.04647526529522539
60%,0.6,traditional_LA_plus_structural,Random Forest,156,0.8005413055596655,0.06041040164323375,0.7524382716049384,0.04467185049323413,0.7717767116395616,0.04222041986961252,0.7504614248800295,0.0855158619364965,0.7580237005448736,0.052175014711831766
60%,0.6,traditional_LA_plus_prompt_0_minimal,Random Forest,102,0.7735953504313356,0.058348257531737675,0.7227057613168724,0.05234128294427194,0.7386260343668253,0.054367511246052616,0.7331856773717239,0.08564321032732247,0.7327664663841794,0.054701673255130825
60%,0.6,traditional_LA_structural_plus_prompt_0_minimal,Random Forest,210,0.7964291692259869,0.06157270121458006,0.7533127572016461,0.049861168160860704,0.7755945064263715,0.05705181339419432,0.7489848652639352,0.07466140876366348,0.7594364110036218,0.05092909442700567
60%,0.6,traditional_LA_plus_prompt_1_structured,Random Forest,102,0.771750124167505,0.049043453597979195,0.7120061728395062,0.04866962641823641,0.7285818891966127,0.055939713615226996,0.7252122554448135,0.07648480824763466,0.723622177880376,0.04844023440593869
60%,0.6,traditional_LA_structural_plus_prompt_1_structured,Random Forest,210,0.7963430863981659,0.06011047202621312,0.7516152263374487,0.04521764230774187,0.7759369294514241,0.04890707638308265,0.7425249169435216,0.08007469041440185,0.7559972076867987,0.04978361086896151
60%,0.6,traditional_LA_plus_prompt_2_rubric,Random Forest,102,0.7791747307047187,0.05031675280326106,0.719434156378601,0.046580624386540107,0.7405163900475792,0.058405861710989646,0.723624953857512,0.07314333710661948,0.7285011658672579,0.04633092623897351
60%,0.6,traditional_LA_structural_plus_prompt_2_rubric,Random Forest,210,0.794938623641194,0.060279099109804,0.7508333333333334,0.04270229505717377,0.7735671884303402,0.053022417619560024,0.7473975636766335,0.07372100037853326,0.7571607417066561,0.04402873434099455
80%,0.8,traditional_LA_only,Random Forest,48,0.7931131620544105,0.04722258428383721,0.7260082304526748,0.04808063044156468,0.7436805663553419,0.054292706057499876,0.7332595053525286,0.0789905401742035,0.7353444686822362,0.04988705090688537
