checkpoint,checkpoint_value,dataset,model,n_features,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
20%,0.2,traditional_LA_only,Ridge,48,0.23665686998128785,0.10609719864101032,12.845726527826807,1.1580122944141016,16.82495977242219,1.0769395771016301
20%,0.2,traditional_LA_plus_structural,Ridge,156,-0.05031538868940419,0.2092925274081127,15.427149484943921,1.093018465985762,19.651137785806977,1.3140508629183747
20%,0.2,traditional_LA_plus_prompt_0_minimal,Ridge,102,0.20343010139416434,0.11380667890119399,13.075318307375435,1.0570308643555444,17.176382842911043,1.0016463146333348
20%,0.2,traditional_LA_structural_plus_prompt_0_minimal,Ridge,210,-0.13357687133525545,0.24192788364585469,15.923958090775578,1.0845921144140434,20.38978821062443,1.358858949687042
20%,0.2,traditional_LA_plus_prompt_1_structured,Ridge,102,0.20018500804379924,0.11114156792251248,13.203944649455398,1.2376391701366225,17.22763286941967,1.144441606741086
20%,0.2,traditional_LA_structural_plus_prompt_1_structured,Ridge,210,-0.12690264968253703,0.24162388485719705,15.935655480554379,1.3041503881989633,20.328464535643427,1.5190518520508287
20%,0.2,traditional_LA_plus_prompt_2_rubric,Ridge,102,0.20525265138471913,0.12056003118027604,13.110519234983341,1.2514282221110375,17.155752527585218,1.1694127709438944
20%,0.2,traditional_LA_structural_plus_prompt_2_rubric,Ridge,210,-0.11265335922529705,0.2562087763630317,15.668565397329166,1.4209115539998973,20.202410914330745,1.8299798132591911
40%,0.4,traditional_LA_only,Ridge,48,0.26082757352932257,0.06466914471374938,12.952300829296096,1.1164258059944596,16.60917075630367,1.063178965144136
40%,0.4,traditional_LA_plus_structural,Ridge,156,0.025104158583098512,0.15496441312088302,15.105782766149936,0.8483111475877957,18.982441127772024,0.9805231135316987
40%,0.4,traditional_LA_plus_prompt_0_minimal,Ridge,102,0.16708168280871713,0.14002793510325676,13.512684952804479,1.22587957203049,17.55883399128817,1.3719397561413478
40%,0.4,traditional_LA_structural_plus_prompt_0_minimal,Ridge,210,-0.13770676875730672,0.2079079476877062,16.06234065554062,0.8531780335967636,20.455529311537962,1.141056476903574
40%,0.4,traditional_LA_plus_prompt_1_structured,Ridge,102,0.19196504988199647,0.12651695359766915,13.575134386560885,1.0539081765404725,17.300667048386387,1.1804597886305697
40%,0.4,traditional_LA_structural_plus_prompt_1_structured,Ridge,210,-0.14321263025171324,0.21996226560791604,16.28469806568547,1.0085423281029762,20.50264522273287,1.2289104633745942
40%,0.4,traditional_LA_plus_prompt_2_rubric,Ridge,102,0.16632095875413416,0.09492407833576436,13.631763300058795,1.0999741683602824,17.622354586557616,1.2347372663268292
40%,0.4,traditional_LA_structural_plus_prompt_2_rubric,Ridge,210,-0.18988931411507762,0.23500395043603942,16.678516520351298,1.3289649510608876,20.95082712170122,1.7213744039895778
60%,0.6,traditional_LA_only,Ridge,48,0.19404704558240174,0.23730902991363567,12.961485835841643,1.1895960730714679,17.12818523140285,1.6736038161674458
60%,0.6,traditional_LA_plus_structural,Ridge,156,-0.07945025439998225,0.3884240656847795,14.877116136860582,1.0539231619140812,19.709713974204167,2.5149466227420523
60%,0.6,traditional_LA_plus_prompt_0_minimal,Ridge,102,0.008590258177316002,0.4107133613149485,13.605089584398323,1.420422581277912,18.78231775117516,2.6329696786840944
60%,0.6,traditional_LA_structural_plus_prompt_0_minimal,Ridge,210,-0.24243697444971865,0.4150762459379359,15.959532475259909,1.144665178539699,21.17576821068793,2.548256039642516
60%,0.6,traditional_LA_plus_prompt_1_structured,Ridge,102,0.07528760050018687,0.3725592022630168,13.728137282462264,1.365675453175414,18.20169712485633,2.1792979702041104
60%,0.6,traditional_LA_structural_plus_prompt_1_structured,Ridge,210,-0.21136293157837435,0.4095590767817176,15.836418865938402,1.3772004215395472,20.88151485742751,2.402675314028487
60%,0.6,traditional_LA_plus_prompt_2_rubric,Ridge,102,0.060835500765499616,0.3177887321314321,13.955214887677007,1.1364653043524047,18.429002183425336,1.8672135333696867
60%,0.6,traditional_LA_structural_plus_prompt_2_rubric,Ridge,210,-0.2392775002326161,0.47511419243537756,16.125734817482837,1.0753464636644416,21.0629809064618,2.490374702116339
80%,0.8,traditional_LA_only,Ridge,48,0.30789456322244535,0.1416468176933601,12.588307732849035,1.1628147320517936,16.027139039409747,1.8639185902552866
80%,0.8,traditional_LA_plus_structural,Ridge,156,0.09199628423747983,0.25278481447057494,14.140527650663067,1.2647162708875914,18.249799630809658,2.3434357947785402
80%,0.8,traditional_LA_plus_prompt_0_minimal,Ridge,102,0.1767332707591005,0.15890949455455525,13.65753961708536,1.1770987676135825,17.457205605862576,1.7339919098817922
80%,0.8,traditional_LA_structural_plus_prompt_0_minimal,Ridge,210,-0.20515516628365832,0.3870371529058419,15.986869845568622,1.5584767415284368,20.90792787102369,2.7947009796482556
80%,0.8,traditional_LA_plus_prompt_1_structured,Ridge,102,0.19305045800486154,0.22182558087948578,13.627348334715089,1.3718313890491873,17.2137917741486,2.2465113120411275
80%,0.8,traditional_LA_structural_plus_prompt_1_structured,Ridge,210,-0.062278385765680594,0.387292864059051,15.440878223228005,1.6877378623273651,19.599040971265577,3.0277795002666266
80%,0.8,traditional_LA_plus_prompt_2_rubric,Ridge,102,0.19960599144474453,0.17329970078999113,13.40843567895026,1.0533756580984304,17.182298798417587,1.7449255760710554
80%,0.8,traditional_LA_structural_plus_prompt_2_rubric,Ridge,210,-0.12459693896907134,0.3368955650357264,15.766121039232667,1.459413196102312,20.23465333366535,2.643905801039801
100%,1.0,traditional_LA_only,Ridge,48,0.37560639523499995,0.10058319987616067,12.285694823863077,1.1476096099535482,15.23557266508618,1.4716229096360787
100%,1.0,traditional_LA_plus_structural,Ridge,156,0.10057325334518676,0.15587526278977343,14.460669610638144,1.2705227409599513,18.247204229015804,1.610103235059445
100%,1.0,traditional_LA_plus_prompt_0_minimal,Ridge,102,0.2583463358690929,0.11066853910070691,13.172079743565508,1.0640825971950918,16.59901030211051,1.3852902655279156
100%,1.0,traditional_LA_structural_plus_prompt_0_minimal,Ridge,210,-0.13596170070445693,0.21773256768194432,16.152700225467363,1.4721021866736745,20.467930957457625,1.744872493296963
100%,1.0,traditional_LA_plus_prompt_1_structured,Ridge,102,0.2789302181156559,0.1268625212507443,13.118041573591567,1.1830882413251087,16.346987479331123,1.5046394524923006
100%,1.0,traditional_LA_structural_plus_prompt_1_structured,Ridge,210,-0.05991806421719142,0.2060280114372428,15.531727491619039,1.3316066502044925,19.747175401474525,1.5349533642539304
100%,1.0,traditional_LA_plus_prompt_2_rubric,Ridge,102,0.279506169304014,0.1272412724851876,12.983658566442312,1.1318779966215342,16.334765437166006,1.4746577279741495
100%,1.0,traditional_LA_structural_plus_prompt_2_rubric,Ridge,210,-0.08379372831827923,0.24415624822436763,15.614754917478438,1.2905206398709321,19.93736074211366,1.6812792543161672
